TRAIN PHASE: validated
Examples	  Cat	  Total	  Found	     %	RMSE pos	RMSE or	Max  pos	Max  or	Missing	     %	    UFO	     %
5008	ALL	31	30	96.77	3.23	3.82	7.57	8.86	1	3.23	0	0.00
10016	ALL	31	30	96.77	3.32	3.09	7.14	8.53	1	3.23	0	0.00
15024	ALL	31	31	100.00	2.66	2.10	5.08	4.83	0	0.00	0	0.00
20032	ALL	31	30	96.77	2.58	1.34	4.77	3.22	1	3.23	0	0.00
25040	ALL	31	31	100.00	2.51	2.39	4.76	8.70	0	0.00	0	0.00
30048	ALL	31	31	100.00	2.43	1.67	4.47	4.65	0	0.00	0	0.00
35056	ALL	31	31	100.00	2.20	2.33	4.45	6.81	0	0.00	0	0.00
40064	ALL	31	31	100.00	2.40	2.55	6.27	7.06	0	0.00	0	0.00
45072	ALL	31	31	100.00	2.37	2.58	4.72	7.11	0	0.00	0	0.00
50000	ALL	31	31	100.00	2.32	1.53	4.35	4.32	0	0.00	0	0.00
TRAIN PHASE: final
Examples	  Cat	  Total	  Found	     %	RMSE pos	RMSE or	Max  pos	Max  or	Missing	     %	    UFO	     %
5008	ALL	182	182	100.00	1.77	1.81	4.25	4.97	0	0.00	0	0.00
10016	ALL	182	182	100.00	1.73	1.78	3.85	5.64	0	0.00	0	0.00
15024	ALL	182	182	100.00	1.83	1.67	4.55	4.67	0	0.00	0	0.00
20032	ALL	182	182	100.00	1.67	1.46	4.16	6.12	0	0.00	0	0.00
25008	ALL	182	182	100.00	1.59	1.50	4.16	5.35	0	0.00	0	0.00
